state_name,state_fips,abbrev,county_name,county_fips,year,month,week,initial_claims
Vermont,50,VT,Washington,50023,2020,Februrary,8,682
Vermont,50,VT,Washington,50023,2020,March,9,766
Vermont,50,VT,Washington,50023,2020,March,10,709
Vermont,50,VT,Washington,50023,2020,March,11,673
Vermont,50,VT,Washington,50023,2020,March,12,1370
Vermont,50,VT,Washington,50023,2020,April,13,1549
Vermont,50,VT,Washington,50023,2020,April,14,2161
Vermont,50,VT,Washington,50023,2020,April,15,3880
Vermont,50,VT,Bennington,50003,2020,Februrary,8,354
Vermont,50,VT,Bennington,50003,2020,March,9,301
Vermont,50,VT,Bennington,50003,2020,March,10,291
Vermont,50,VT,Bennington,50003,2020,March,11,306
Vermont,50,VT,Bennington,50003,2020,March,12,690
Vermont,50,VT,Bennington,50003,2020,April,13,788
Vermont,50,VT,Bennington,50003,2020,April,14,1002
Vermont,50,VT,Bennington,50003,2020,April,15,1852
Vermont,50,VT,Windham,50025,2020,Februrary,8,180
Vermont,50,VT,Windham,50025,2020,March,9,151
Vermont,50,VT,Windham,50025,2020,March,10,152
Vermont,50,VT,Windham,50025,2020,March,11,151
Vermont,50,VT,Windham,50025,2020,March,12,473
Vermont,50,VT,Windham,50025,2020,April,13,517
Vermont,50,VT,Windham,50025,2020,April,14,671
Vermont,50,VT,Windham,50025,2020,April,15,1306
Vermont,50,VT,Chittenden,50007,2020,Februrary,8,827
Vermont,50,VT,Chittenden,50007,2020,March,9,917
Vermont,50,VT,Chittenden,50007,2020,March,10,828
Vermont,50,VT,Chittenden,50007,2020,March,11,941
Vermont,50,VT,Chittenden,50007,2020,March,12,2644
Vermont,50,VT,Chittenden,50007,2020,April,13,2878
Vermont,50,VT,Chittenden,50007,2020,April,14,3954
Vermont,50,VT,Chittenden,50007,2020,April,15,7705
Vermont,50,VT,Addison,50001,2020,Februrary,8,326
Vermont,50,VT,Addison,50001,2020,March,9,274
Vermont,50,VT,Addison,50001,2020,March,10,274
Vermont,50,VT,Addison,50001,2020,March,11,267
Vermont,50,VT,Addison,50001,2020,March,12,505
Vermont,50,VT,Addison,50001,2020,April,13,576
Vermont,50,VT,Addison,50001,2020,April,14,803
Vermont,50,VT,Addison,50001,2020,April,15,1486
Vermont,50,VT,Lamoille,50015,2020,Februrary,8,358
Vermont,50,VT,Lamoille,50015,2020,March,9,389
Vermont,50,VT,Lamoille,50015,2020,March,10,369
Vermont,50,VT,Lamoille,50015,2020,March,11,354
Vermont,50,VT,Lamoille,50015,2020,March,12,803
Vermont,50,VT,Lamoille,50015,2020,April,13,915
Vermont,50,VT,Lamoille,50015,2020,April,14,1255
Vermont,50,VT,Lamoille,50015,2020,April,15,2201
Vermont,50,VT,Orleans,50019,2020,Februrary,8,525
Vermont,50,VT,Orleans,50019,2020,March,9,545
Vermont,50,VT,Orleans,50019,2020,March,10,535
Vermont,50,VT,Orleans,50019,2020,March,11,494
Vermont,50,VT,Orleans,50019,2020,March,12,951
Vermont,50,VT,Orleans,50019,2020,April,13,1632
Vermont,50,VT,Orleans,50019,2020,April,14,2312
Vermont,50,VT,Orleans,50019,2020,April,15,3810
Vermont,50,VT,Rutland,50021,2020,Februrary,8,573
Vermont,50,VT,Rutland,50021,2020,March,9,533
Vermont,50,VT,Rutland,50021,2020,March,10,488
Vermont,50,VT,Rutland,50021,2020,March,11,463
Vermont,50,VT,Rutland,50021,2020,March,12,1345
Vermont,50,VT,Rutland,50021,2020,April,13,2236
Vermont,50,VT,Rutland,50021,2020,April,14,3142
Vermont,50,VT,Rutland,50021,2020,April,15,7030
Vermont,50,VT,Franklin,50011,2020,Februrary,8,437
Vermont,50,VT,Franklin,50011,2020,March,9,533
Vermont,50,VT,Franklin,50011,2020,March,10,493
Vermont,50,VT,Franklin,50011,2020,March,11,437
Vermont,50,VT,Franklin,50011,2020,March,12,1001
Vermont,50,VT,Franklin,50011,2020,April,13,1746
Vermont,50,VT,Franklin,50011,2020,April,14,2560
Vermont,50,VT,Franklin,50011,2020,April,15,5020
Vermont,50,VT,Caledonia,50005,2020,Februrary,8,298
Vermont,50,VT,Caledonia,50005,2020,March,9,363
Vermont,50,VT,Caledonia,50005,2020,March,10,304
Vermont,50,VT,Caledonia,50005,2020,March,11,271
Vermont,50,VT,Caledonia,50005,2020,March,12,606
Vermont,50,VT,Caledonia,50005,2020,April,13,931
Vermont,50,VT,Caledonia,50005,2020,April,14,1336
Vermont,50,VT,Caledonia,50005,2020,April,15,2474
Vermont,50,VT,Windsor,50027,2020,Februrary,8,388
Vermont,50,VT,Windsor,50027,2020,March,9,364
Vermont,50,VT,Windsor,50027,2020,March,10,366
Vermont,50,VT,Windsor,50027,2020,March,11,369
Vermont,50,VT,Windsor,50027,2020,March,12,1146
Vermont,50,VT,Windsor,50027,2020,April,13,1727
Vermont,50,VT,Windsor,50027,2020,April,14,2394
Vermont,50,VT,Windsor,50027,2020,April,15,5357
Vermont,50,VT,,,2020,Februrary,8,91
Vermont,50,VT,,,2020,March,9,83
Vermont,50,VT,,,2020,March,10,87
Vermont,50,VT,,,2020,March,11,84
Vermont,50,VT,,,2020,March,12,161
Vermont,50,VT,,,2020,April,13,384
Vermont,50,VT,,,2020,April,14,502
Vermont,50,VT,,,2020,April,15,778
